gene,baseMean_all,baseMean_LG3-LG6-LG9,baseMean_LG2-LG5-LG8,foldChange,log2FoldChange,pval,padj
LOC100129196,23.5520414069058,40.2542596284693,6.84982318534221,0.170163934166554,-2.55500280118133,0.000739918630974979,0.151505002584346
RIPK3,222.923248687405,115.980208371524,329.866289003286,2.84416016866096,1.50800271250525,0.000745404667154085,0.151505002584346
IFIT1,3320.24839876466,114.876314376244,6525.62048315307,56.8056219298637,5.8279618120992,0.000745984932902005,0.151505002584346
DLGAP2,23.3114396571747,3.50715334075421,43.1157259735951,12.2936529385747,3.61984175700258,0.000748412398989587,0.151505002584346
MMP13,17.793098588717,5.65535048735727,29.9308466900767,5.2924830666089,2.40394474831252,0.000762458436516599,0.152932374289563
OCA2,13.9201119921951,3.77202302840278,24.0682009559874,6.3807142148278,2.67371791874254,0.000788463414669039,0.156710687590084
HCG4,55.891268842026,26.1939478298261,85.5885898542259,3.26749485836454,1.70818496583928,0.00080248280314632,0.158060193920613
PTGES,846.93958647118,435.57952924853,1258.29964369383,2.88879425960323,1.53046745858592,0.000819640276973736,0.159998172995329
BNC1,79.1762732846063,119.206610161345,39.1459364078679,0.328387296265571,-1.60652977766556,0.00083654098178636,0.161852172431816
HAX1,990.378312593036,1430.52768187225,550.228943313824,0.384633551860874,-1.37844347939617,0.00087958849178522,0.168688098209651
BEST1,173.457822842259,258.168634142336,88.7470115421826,0.343755978866331,-1.5405432886913,0.000908014516051554,0.171356414375672
MSX2,101.005489030504,50.630749266211,151.380228794796,2.98988719283721,1.58009105318443,0.000909893132105708,0.171356414375672
KCNJ16,472.927277506088,266.206453230245,679.648101781931,2.55308649934979,1.35224241752136,0.000917015070299302,0.171356414375672
TRIM21,588.789466636061,325.211422400405,852.367510871717,2.62096424713604,1.39009767383751,0.000943680046734365,0.174844719167402
LOC100507673,8.6835104510849,1.29773221852944,16.0692886836404,12.3825920742337,3.63024144346288,0.000966622671312815,0.176275740112912
ART4,31.8744660361673,12.7665388916979,50.9823931806366,3.99343891191922,1.99763164478592,0.000967529104585349,0.176275740112912
OAS1,2050.45302480963,116.074900253847,3984.83114936542,34.3298261781908,5.10139064742002,0.000992359959461766,0.179305502427377
DKFZP686I15217,94.2913907845685,48.0220150403674,140.56076652877,2.92700684072949,1.54942611748393,0.00102372196464508,0.180792860289957
FBRSL1,586.150663058287,846.997910238676,325.303415877898,0.384066373654016,-1.38057243845461,0.00102500723860745,0.180792860289957
C2CD4A,5776.4938638478,8282.38046914065,3270.60725855495,0.394887347996257,-1.34048694961496,0.00103314148332739,0.180792860289957
ACE2,33.2480399571482,13.7874656551185,52.7086142591779,3.82293712112424,1.93468147121931,0.00103366910013469,0.180792860289957
ATF3,3316.99778376602,4758.67745219055,1875.31811534148,0.394083888681764,-1.34342532585833,0.00104771118436972,0.181794520824407
PCDH10,238.291914000069,345.510654721811,131.073173278327,0.379360727338093,-1.39835776091185,0.00108522132646874,0.186820424099103
LOC150197,9.78042519539669,1.95521287797862,17.6056375128148,9.00446069638015,3.17063987147222,0.00113235113716827,0.193410882124296
KY,57.6467251111179,24.9593435328459,90.3341066893898,3.61925010449543,1.85569080708812,0.00119318219487787,0.202221258345852
HCP5,1042.64737372617,453.914710823222,1631.38003662912,3.59402327734751,1.84559975275578,0.00122585230274833,0.206160068422976
KCNH4,115.366471852004,58.1940779244834,172.538865779525,2.96488701141417,1.56797712629625,0.00124465327130855,0.207724079928388
SP100,2387.83151311649,1298.7493644416,3476.91366179139,2.67712443754404,1.42068419958956,0.00125836943232419,0.207748447578784
MX2,753.857304198985,52.7775376139044,1454.93707078407,27.5673541541043,4.78488890260808,0.00126380384796132,0.207748447578784
PPAPDC1A,327.031215213344,183.414538800654,470.647891626034,2.56603372177362,1.35954012986481,0.00129781633282546,0.211747451377335
LOC100289424,21.6014795011748,8.1189798538282,35.0839791485215,4.32122997964811,2.11144201446585,0.00133416172689696,0.216065021001098
PIP5K1A,1689.89356554336,2399.47947013525,980.307660951478,0.408550134790785,-1.29141496688125,0.00135642505096883,0.21805530065685
TBC1D3,5.91344233332302,11.826884666646,0,0,-Inf,0.00142202135792158,0.226931773344814
KIAA0284,2909.94158110608,4149.94575690954,1669.93740530262,0.402399815111372,-1.31329845261164,0.00144514352559596,0.228950528261627
ACY3,58.962834101419,29.9872937450337,87.9383744578043,2.93252119399297,1.55214153497435,0.0014779775600001,0.232467794203469
TEX22,18.7891192613805,6.37645421537353,31.2017843073875,4.89328132117071,2.29080222758823,0.00149348519647285,0.233229048932042
BRD4,2494.06193270814,3531.200160536,1456.92370488028,0.412585987382581,-1.27723327094108,0.00152067546728354,0.235790976888086
HAAO,104.0760165385,55.1348981381986,153.017134938802,2.77532271040487,1.47265553565433,0.00153300757762484,0.236029187814168
C2CD4C,102.652317025895,54.8895818662791,150.415052185511,2.74032060495468,1.45434469176971,0.00156131394046687,0.238110141979647
FTL,46557.9300105152,66208.3272274567,26907.5327935737,0.406407077785453,-1.2990025672924,0.00156830537643824,0.238110141979647
LOC645321,5.24446288354658,0.370013760937865,10.1189120061553,27.3473937307281,4.77333144231401,0.00160854955141457,0.241556471575095
HIPK2,3232.46652404606,4566.85322448849,1898.07982360362,0.415620938598528,-1.26665975717238,0.00161310180899071,0.241556471575095
LOC100505771,108.430277007909,53.4214625899879,163.439091425831,3.05942749415592,1.61326170892551,0.00162701838028439,0.2419830125725
ATG4D,459.712024011014,656.072221498756,263.351826523271,0.401406762690943,-1.3168631722115,0.00166707957853213,0.246265951523297
KCNN1,14.175430715913,4.46156279564444,23.8892986361816,5.35446876585563,2.42074344763971,0.0017060578862274,0.25033250715832
